Te_eV,ne_cm3,log10_K,K_cm3_s
20.000000199681043,2000000019968.1084,-13.48549,3.26971575546384e-14
20.000000199681043,4999999950079.7295,-13.48532,3.2709959017860614e-14
20.000000199681043,10000000000000.0,-13.48521,3.2718244988212587e-14
20.000000199681043,20000000199681.082,-13.48513,3.272427246680118e-14
20.000000199681043,49999999500797.3,-13.48513,3.272427246680118e-14
20.000000199681043,100000000000000.0,-13.48526,3.271447837788134e-14
20.000000199681043,200000001996810.84,-13.48545,3.270016921283102e-14
20.000000199681043,499999995007973.0,-13.48543,3.2701675145949577e-14
20.000000199681043,1000000000000000.0,-13.48445,3.277555088805416e-14
20.000000199681043,2000000019968108.2,-13.48142,3.300501998051235e-14
29.999913327161483,49999999.5007974,-13.65547,2.2107009608374436e-14
29.999913327161483,100000000.0,-13.6555,2.2105482562994042e-14
29.999913327161483,200000001.99681082,-13.65554,2.2103446666567043e-14
29.999913327161483,499999995.00797296,-13.65561,2.209988429899183e-14
29.999913327161483,1000000000.0,-13.65567,2.209683129804183e-14
29.999913327161483,2000000019.9681082,-13.65575,2.2092761286167408e-14
29.999913327161483,4999999950.07973,-13.65588,2.2086149115683217e-14
29.999913327161483,10000000000.0,-13.65601,2.20795389241639e-14
29.999913327161483,20000000199.681084,-13.65616,2.2071914238398256e-14
29.999913327161483,49999999500.797295,-13.6564,2.2059720217473287e-14
29.999913327161483,100000000000.0,-13.65664,2.2047532933351692e-14
29.999913327161483,200000001996.81082,-13.65693,2.203281561464678e-14
29.999913327161483,499999995007.97296,-13.65743,2.2007463994617095e-14
29.999913327161483,1000000000000.0,-13.65792,2.198264770826529e-14
29.999913327161483,2000000019968.1084,-13.65856,2.195027673910784e-14
29.999913327161483,4999999950079.7295,-13.65967,2.1894246331006188e-14
29.999913327161483,10000000000000.0,-13.66077,2.1838861799047433e-14
29.999913327161483,20000000199681.082,-13.66211,2.1771582623740766e-14
29.999913327161483,49999999500797.3,-13.66427,2.166356866398186e-14
29.999913327161483,100000000000000.0,-13.66631,2.1562047577862647e-14
29.999913327161483,200000001996810.84,-13.66891,2.1433347240527205e-14
29.999913327161483,499999995007973.0,-13.6729,2.123733413395366e-14
29.999913327161483,1000000000000000.0,-13.67514,2.112807841268752e-14
29.999913327161483,2000000019968108.2,-13.67498,2.11358637184493e-14
49.9999995007974,49999999.5007974,-13.8798,1.318863958026115e-14
49.9999995007974,100000000.0,-13.87986,1.3186817628226335e-14
49.9999995007974,200000001.99681082,-13.87994,1.3184388750365576e-14
49.9999995007974,499999995.00797296,-13.88007,1.3180442777971359e-14
49.9999995007974,1000000000.0,-13.88019,1.3176801390143668e-14
49.9999995007974,2000000019.9681082,-13.88035,1.3171947771235546e-14
49.9999995007974,4999999950.07973,-13.88061,1.3164064453280553e-14
49.9999995007974,10000000000.0,-13.88085,1.3156791732135159e-14
49.9999995007974,20000000199.681084,-13.88114,1.3148009221291821e-14
49.9999995007974,49999999500.797295,-13.88162,1.3133485532040544e-14
49.9999995007974,100000000000.0,-13.88208,1.3119582051265954e-14
49.9999995007974,200000001996.81082,-13.88264,1.3102675939109479e-14
49.9999995007974,499999995007.97296,-13.88358,1.3074346783687855e-14
49.9999995007974,1000000000000.0,-13.88451,1.3046379278955927e-14
49.9999995007974,2000000019968.1084,-13.88568,1.301127931408759e-14
49.9999995007974,4999999950079.7295,-13.88768,1.295149791591668e-14
49.9999995007974,10000000000000.0,-13.88963,1.2893475519100222e-14
49.9999995007974,20000000199681.082,-13.89201,1.2823010562431165e-14
49.9999995007974,49999999500797.3,-13.89579,1.2711886308200886e-14
49.9999995007974,100000000000000.0,-13.89929,1.2609852309173571e-14
49.9999995007974,200000001996810.84,-13.9037,1.2482454739245359e-14
49.9999995007974,499999995007973.0,-13.91078,1.2280611709935071e-14
49.9999995007974,1000000000000000.0,-13.91565,1.2143671204859558e-14
49.9999995007974,2000000019968108.2,-13.91799,1.2078416463682873e-14
70.00031591308968,49999999.5007974,-14.03437,9.239107068243052e-15
70.00031591308968,100000000.0,-14.03444,9.237618020134802e-15
70.00031591308968,200000001.99681082,-14.03453,9.235703882338268e-15
70.00031591308968,499999995.00797296,-14.03467,9.232727122989376e-15
70.00031591308968,1000000000.0,-14.03482,9.229538802648334e-15
70.00031591308968,2000000019.9681082,-14.035,9.225714271547629e-15
70.00031591308968,4999999950.07973,-14.0353,9.219343574515606e-15
70.00031591308968,10000000000.0,-14.03558,9.213401559737758e-15
70.00031591308968,20000000199.681084,-14.03593,9.205979426525248e-15
70.00031591308968,49999999500.797295,-14.03649,9.194116447957267e-15
70.00031591308968,100000000000.0,-14.03703,9.182691625061265e-15
70.00031591308968,200000001996.81082,-14.03769,9.168747230395614e-15
70.00031591308968,499999995007.97296,-14.0388,9.1453430312046e-15
70.00031591308968,1000000000000.0,-14.03988,9.122628720815158e-15
70.00031591308968,2000000019968.1084,-14.04123,9.094315150819816e-15
70.00031591308968,4999999950079.7295,-14.04355,9.045862873978248e-15
70.00031591308968,10000000000000.0,-14.04581,8.998911898711036e-15
