label,Te_eV,n_lower,n_upper,Upsilon_interp,K_CCC_stored,K_And2002,pct_err
1S->2P,5.428675439323859,1,2,1.2135955219620145,2.9071704499016777e-09,3.184214387128003e-09,-8.700542851205583
1S->2P,5.689866029018296,1,2,1.251492254269056,3.1962204300260413e-09,3.4964435745066946e-09,-8.58652908542965
1S->2P,5.963623316594643,1,2,1.2905723811202947,3.50119889635078e-09,3.8241112380540445e-09,-8.444114765541787
1S->2P,6.250551925273971,1,2,1.3308728561674557,3.821930139196019e-09,4.166709713558905e-09,-8.274624297462763
1S->2P,6.551285568595508,1,2,1.3724317870074005,4.158176033945646e-09,4.523660984531348e-09,-8.0794063002395
1S->2P,6.866488450043,1,2,1.4152884712161626,4.50963943517503e-09,4.894325120720001e-09,-7.859831050381461
1S->2P,7.196856730011519,1,2,1.4594834335082203,4.875967812180961e-09,5.278008964038546e-09,-7.617288159168966
1S->2P,7.543120063354617,1,2,1.505058464056128,5.256757049246015e-09,5.673974891571053e-09,-7.353184501130494
1S->2P,7.906043210907698,1,2,1.552056658006754,5.651555340761109e-09,6.081449502804201e-09,-7.068942393501166
1S->2P,8.286427728546842,1,2,1.600522456231481,6.05986711876869e-09,6.4996320972949354e-09,-6.765998012553198
1S->2P,8.685113737513525,1,2,1.6505016873489078,6.481156958215726e-09,6.927702828806168e-09,-6.445800023835524
1S->2P,9.102981779915218,1,2,1.7020416110597827,6.914853412891277e-09,7.364830441826812e-09,-6.109808399389571
1S->2P,9.54095476349994,1,2,1.7551909628351572,7.360352742406546e-09,7.810179515754554e-09,-5.7594933950061655
1S->2P,10.0,1,2,1.81,7.81702249749311e-09,8.262917160398426e-09,-5.39633466304551
1S->3S,1.0,1,3,0.06959999999999998,1.377083735144781e-14,1.5590375915759628e-14,-11.670908861617157
1S->3S,1.0481131341546857,1,3,0.06992466515220193,2.3542089338189185e-14,2.6655173555529962e-14,-11.679099409558813
1S->3S,1.0985411419875581,1,3,0.070250844779419,3.922886870065187e-14,4.442613183450687e-14,-11.698662294560059
1S->3S,1.1513953993264474,1,3,0.07057854594626707,6.378915295687207e-14,7.226626592916023e-14,-11.730387426683897
1S->3S,1.2067926406393286,1,3,0.07090777575031641,1.0133259253638192e-13,1.1485703529235658e-13,-11.775023377148475
1S->3S,1.264855216855296,1,3,0.0712385413222457,1.5742426703736699e-13,1.7855291978319433e-13,-11.833272047011356
1S->3S,1.3257113655901092,1,3,0.07157084982599615,2.394155413368253e-13,2.717721444799206e-13,-11.905783502946854
1S->3S,1.3894954943731377,1,3,0.07190470845892687,3.567870115289861e-13,4.0540823302533667e-13,-11.993150985986977
1S->3S,1.4563484775012439,1,3,0.07224012445197076,5.214835433511333e-13,5.932414749422407e-13,-12.095906072328122
1S->3S,1.5264179671752334,1,3,0.07257710506979093,7.482172685720878e-13,8.523245722705694e-13,-12.21451394052182
1S->3S,1.599858719606058,1,3,0.07291565761093835,1.05471172001118e-12,1.203313318014703e-12,-12.349368678865336
1S->3S,1.676832936811008,1,3,0.07325578940800961,1.4618595606923855e-12,1.6707116973024257e-12,-12.500788553001584
1S->3S,1.7575106248547918,1,3,0.07359750782780593,1.9937679334155234e-12,2.2830016694483422e-12,-12.669011148936582
1S->3S,1.842069969326716,1,3,0.0739408202714927,2.6776694334120366e-12,3.0726312390339623e-12,-12.8541883127538
1S->3S,1.93069772888325,1,3,0.07428573417475966,3.543682945358741e-12,4.07584015830379e-12,-13.056380826438307
1S->3S,2.023589647725157,1,3,0.07463225700798207,4.624416697077238e-12,5.332310375939058e-12,-13.27555278957584
1S->3S,2.120950887920191,1,3,0.07498039627638252,5.954415267836054e-12,6.884637601877462e-12,-13.51156571825558
1S->3S,2.2229964825261948,1,3,0.07533015952019331,7.569462206781586e-12,8.777630388042109e-12,-13.764172422963117
1S->3S,2.329951810515372,1,3,0.07568155431482004,9.505759558821102e-12,1.1057453151979968e-11,-14.033010783147814
1S->3S,2.442053094548651,1,3,0.07603458827100541,1.1799014172176376e-11,1.3770638825150559e-11,-14.317597593026887
1S->3S,2.5595479226995357,1,3,0.07638926903499414,1.448346748171892e-11,1.6963004605561434e-11,-14.61732270608227
1S->3S,2.6826957952797255,1,3,0.07674560428869877,1.7590909993704793e-11,2.0678510097090156e-11,-14.931443749517737
1S->3S,2.8117686979742302,1,3,0.0771036017498657,2.1149723613273656e-11,2.49581005729824e-11,-15.259081710053612
1S->3S,2.9470517025518106,1,3,0.0774632691722427,2.5183994152756987e-11,2.983857906052656e-11,-15.59921770513235
1S->3S,3.088843596477481,1,3,0.07780677855478639,2.971273295420567e-11,3.534344761582745e-11,-15.931424468902799
