i,j,Te,ups_2000,ups_2002,pct
8,3,15.0,3.94,4.21,6.852791878172582
8,3,20.0,4.13,4.53,9.685230024213087
8,3,25.0,4.25,4.76,11.99999999999999
9,3,0.5,3.4,3.54,4.117647058823537
9,3,1.0,4.3,4.31,0.23255813953488857
9,3,3.0,7.65,7.62,-0.39215686274509665
9,3,5.0,10.7,10.6,-0.9345794392523366
9,3,10.0,16.9,16.3,-3.5502958579881505
9,3,15.0,21.6,20.4,-5.55555555555557
9,3,20.0,25.3,23.4,-7.509881422924913
9,3,25.0,28.4,26.0,-8.450704225352112
10,3,0.5,2.62,2.72,3.8167938931297662
10,3,1.0,3.18,3.21,0.943396226415083
10,3,3.0,4.93,4.93,0.0
10,3,5.0,6.1,6.09,-0.16393442622950616
10,3,10.0,7.71,7.62,-1.1673151750972721
10,3,15.0,8.52,8.33,-2.230046948356801
10,3,20.0,9.01,8.72,-3.2186459489456087
10,3,25.0,9.32,8.95,-3.9699570815450724
11,3,0.5,0.448,0.463,3.3482142857142794
11,3,1.0,0.5,0.51,2.0000000000000018
11,3,3.0,0.471,0.475,0.849256900212314
11,3,5.0,0.434,0.438,0.9216589861751112
11,3,10.0,0.387,0.403,4.134366925064592
11,3,15.0,0.364,0.397,9.065934065934078
11,3,20.0,0.347,0.401,15.56195965417868
11,3,25.0,0.335,0.407,21.492537313432813
12,3,0.5,1.26,1.32,4.761904761904767
12,3,1.0,1.37,1.4,2.1897810218977964
12,3,3.0,1.36,1.37,0.7352941176470562
12,3,5.0,1.38,1.4,1.449275362318847
12,3,10.0,1.46,1.53,4.794520547945202
12,3,15.0,1.52,1.65,8.552631578947366
12,3,20.0,1.56,1.74,11.538461538461542
12,3,25.0,1.59,1.81,13.83647798742138
13,3,0.5,1.99,2.07,4.020100502512558
13,3,1.0,2.46,2.48,0.8130081300812941
13,3,3.0,3.45,3.44,-0.28985507246377384
13,3,5.0,4.31,4.27,-0.9280742459396807
