series,Te_eV,n_upper,K_CCC,K_And,R_CCC,R_And
2p->nd,10.0,9,1.6413700010879775e-09,,1.1965587307931355e-06,
2p->nd,10.0,10,1.1687544627492112e-09,,1.1687544627492111e-06,
2s->np,1.0,3,1.7759544927401344e-08,1.846035647752347e-08,4.795077130398363e-07,4.984296248931336e-07
2s->np,1.0,4,2.766077339903285e-09,2.8209061636383835e-09,1.7702894975381024e-07,1.8053799447285654e-07
2s->np,1.0,5,7.906004766764293e-10,1.1914610853429182e-09,9.882505958455365e-08,1.4893263566786478e-07
2s->np,1.0,6,3.479042119741868e-10,,7.514730978642434e-08,
2s->np,1.0,7,1.7826770773329949e-10,,6.114582375252173e-08,
2s->np,1.0,8,9.498836536090081e-11,,4.863404306478121e-08,
2s->np,1.0,9,6.324043912760372e-11,,4.610228012402311e-08,
2s->np,1.0,10,4.288284115807088e-11,,4.288284115807088e-08,
2s->np,10.0,3,1.5414939955316046e-07,1.4154335812970805e-07,4.162033787935332e-06,3.821670669502117e-06
2s->np,10.0,4,2.7779969359100807e-08,2.953916989873952e-08,1.7779180389824517e-06,1.8905068735193292e-06
2s->np,10.0,5,1.0129578781236892e-08,1.1516541654940336e-08,1.2661973476546115e-06,1.439567706867542e-06
2s->np,10.0,6,4.93355554853683e-09,,1.0656479984839553e-06,
2s->np,10.0,7,2.779766014847553e-09,,9.534597430927107e-07,
2s->np,10.0,8,1.7303531301884756e-09,,8.859408026564995e-07,
2s->np,10.0,9,1.163249603081236e-09,,8.48008960646221e-07,
2s->np,10.0,10,8.377104223443928e-10,,8.377104223443928e-07,
3d->nf,1.0,4,4.489105614341082e-07,4.630552126808758e-07,2.8730275931782924e-05,2.963553361157605e-05
3d->nf,1.0,5,6.967590579519578e-08,1.2206983022064065e-07,8.709488224399472e-06,1.5258728777580081e-05
3d->nf,1.0,6,2.318789500614478e-08,,5.0085853213272726e-06,
3d->nf,1.0,7,1.0866968224916518e-08,,3.727370101146366e-06,
3d->nf,1.0,8,5.7005997045088604e-09,,2.9187070487085365e-06,
3d->nf,1.0,9,3.539917415350275e-09,,2.5805997957903505e-06,
3d->nf,1.0,10,2.334248187463956e-09,,2.334248187463956e-06,
3d->nf,10.0,4,2.661408454826164e-06,2.0651344368929027e-06,0.0001703301411088745,0.00013216860396114577
3d->nf,10.0,5,2.9096922132807486e-07,3.449263352201185e-07,3.637115266600936e-05,4.311579190251481e-05
3d->nf,10.0,6,8.898036951538818e-08,,1.9219759815323845e-05,
3d->nf,10.0,7,3.9884755309713025e-08,,1.3680471071231567e-05,
3d->nf,10.0,8,2.172013868119365e-08,,1.1120711004771149e-05,
3d->nf,10.0,9,1.3317181746631696e-08,,9.708225493294507e-06,
3d->nf,10.0,10,8.953954916346496e-09,,8.953954916346495e-06,
4s->np,1.0,5,7.178791643261744e-07,5.101753014677948e-07,8.973489554077181e-05,6.377191268347435e-05
4s->np,1.0,6,9.967155278574284e-08,,2.1529055401720453e-05,
4s->np,1.0,7,3.8881134986388415e-08,,1.3336229300331226e-05,
4s->np,1.0,8,1.9299657339863487e-08,,9.881424558010105e-06,
4s->np,1.0,9,1.1022242558705565e-08,,8.035214825296356e-06,
4s->np,1.0,10,7.066388889376933e-09,,7.066388889376933e-06,
4s->np,10.0,5,3.7317709798172067e-06,1.3020717009897767e-06,0.00046647137247715083,0.0001627589626237221
4s->np,10.0,6,5.591959607851692e-07,,0.00012078632752959655,
