label,Te_eV,Te_match,n_lower,n_upper,K_stored,K_Anderson2002,pct_err
3D->4F,1.0,exact,3,4,4.489105614341083e-07,4.630552126808758e-07,-3.0546360043927634
3D->4F,3.0,interp,3,4,1.3134062322215404e-06,1.2130949171485475e-06,8.269040917983617
3D->4F,5.0,interp,3,4,1.9034058479589908e-06,1.6257396428183058e-06,17.07937715410175
3D->4F,10.0,exact,3,4,2.6614084548261646e-06,2.0651344368929027e-06,28.873375373585162
3D->5S,1.0,exact,3,5,4.813820785877431e-09,8.88887541756286e-09,-45.84443408480937
3D->5S,3.0,interp,3,5,4.872646673654816e-09,8.475213016502665e-09,-42.50708903520237
3D->5S,5.0,interp,3,5,4.166935466483797e-09,6.701267216158191e-09,-37.81869410555032
3D->5S,10.0,exact,3,5,3.2135783584749256e-09,4.48404235786154e-09,-28.333006202744805
3D->5P,1.0,exact,3,5,1.5137362171412044e-08,2.7031922502725415e-08,-44.001903046718695
3D->5P,3.0,interp,3,5,1.8911558107392808e-08,2.9345006333819507e-08,-35.55442485763708
3D->5P,5.0,interp,3,5,1.7578434017092016e-08,2.5122371810355154e-08,-30.02876420352004
3D->5P,10.0,exact,3,5,1.4799205722211955e-08,1.913191406020924e-08,-22.64649697025609
3D->5D,1.0,exact,3,5,3.298660951487548e-08,6.392684375644524e-08,-48.39943977126243
3D->5D,3.0,interp,3,5,5.112606460104116e-08,9.145190330060189e-08,-44.09513333693005
3D->5D,5.0,interp,3,5,5.2940149077499016e-08,8.679174279958185e-08,-39.00324227876425
3D->5D,10.0,exact,3,5,4.9818116244373406e-08,7.358428484695861e-08,-32.297886229395765
3D->5F,1.0,exact,3,5,6.967590579519577e-08,1.2206983022064065e-07,-42.921272464083145
3D->5F,3.0,interp,3,5,1.625101025614478e-07,2.616261409442127e-07,-37.88460817602308
3D->5F,5.0,interp,3,5,2.160497828311631e-07,3.129226100937305e-07,-30.957439359703297
3D->5F,10.0,exact,3,5,2.909692213280747e-07,3.449263352201185e-07,-15.643083285481952
3D->5G,1.0,exact,3,5,6.300188194857886e-08,1.1780804063687765e-07,-46.52157729813114
3D->5G,3.0,interp,3,5,1.2620368619069712e-07,1.7821396540630113e-07,-29.184177063244388
3D->5G,5.0,interp,3,5,1.4069270278350278e-07,1.824397858848353e-07,-22.88266394243922
3D->5G,10.0,exact,3,5,1.4010536169559363e-07,1.7085351137903203e-07,-17.996791189866034
4S->5S,1.0,exact,4,5,2.2417054858469494e-07,4.6594044873937325e-07,-51.8885837897954
4S->5S,3.0,interp,4,5,3.408772292126906e-07,9.062255171941951e-07,-62.38494472456529
4S->5S,5.0,interp,4,5,3.930216861601438e-07,9.704461410713386e-07,-59.50092750884026
4S->5S,10.0,exact,4,5,4.715025554372785e-07,9.225055164559644e-07,-48.888917515780996
4S->5P,1.0,exact,4,5,7.178791643261743e-07,5.101753014677948e-07,40.71225366277184
4S->5P,3.0,interp,4,5,2.34706824370541e-06,8.874328221371727e-07,164.4784129184054
4S->5P,5.0,interp,4,5,3.116193939173194e-06,1.0614254667967767e-06,193.5857520526054
4S->5P,10.0,exact,4,5,3.7317709798172067e-06,1.3020717009897767e-06,186.60257165411713
4S->5D,1.0,exact,4,5,7.0343068374327e-07,7.490435062012709e-07,-6.089475722087712
4S->5D,3.0,interp,4,5,1.5028917543712482e-06,1.286255572791761e-06,16.842390125415598
4S->5D,5.0,interp,4,5,1.6929690360686684e-06,1.420288362713782e-06,19.19896554203038
4S->5D,10.0,exact,4,5,1.6650092140966915e-06,1.4126249586209841e-06,17.86633132420985
4S->5F,1.0,exact,4,5,6.587862194973317e-07,1.0262485832993789e-06,-35.80636989730689
4S->5F,3.0,interp,4,5,8.750857767484135e-07,1.3154886539915736e-06,-33.47827257246577
4S->5F,5.0,interp,4,5,8.98340274384505e-07,1.285504176453874e-06,-30.117669717525118
4S->5F,10.0,exact,4,5,8.521236105519802e-07,1.1153595325459596e-06,-23.60099271246714
4S->5G,1.0,exact,4,5,4.801291037278051e-07,8.139212902029559e-07,-41.01037661662809
4S->5G,3.0,interp,4,5,5.241544127237899e-07,8.60287818165918e-07,-39.072203318971134
4S->5G,5.0,interp,4,5,5.040013795190016e-07,7.985963035899558e-07,-36.88909186614715
4S->5G,10.0,exact,4,5,4.553307398889116e-07,6.633195457872447e-07,-31.35574810350065
4P->5S,1.0,exact,4,5,1.3602837326958198e-07,1.779224076409843e-07,-23.54623845689916
