label,Te_eV,Te_match,n_lower,n_upper,K_stored,K_Anderson2002,pct_err
3P->4P,10.0,exact,3,4,2.585035350852585e-07,3.437939074046738e-07,-24.808575859670935
3P->4D,1.0,exact,3,4,2.1556386458963085e-07,2.1567899043022942e-07,-0.05337832876949333
3P->4D,3.0,interp,3,4,6.360936791506288e-07,5.094751333997978e-07,24.852743038877676
3P->4D,5.0,interp,3,4,9.604186215660607e-07,7.009302192331177e-07,37.02057568824002
3P->4D,10.0,exact,3,4,1.3940247563604237e-06,9.404936777277283e-07,48.22266107396334
3P->4F,1.0,exact,3,4,2.6093679273703636e-07,2.8182973509892595e-07,-7.413320796173584
3P->4F,3.0,interp,3,4,5.053787790325331e-07,5.434813619641048e-07,-7.010835255485393
3P->4F,5.0,interp,3,4,5.8573107125772e-07,6.224678812592613e-07,-5.901800094042153
3P->4F,10.0,exact,3,4,6.257324739204583e-07,6.599262360526497e-07,-5.181452147852383
3P->5S,1.0,exact,3,5,7.903554074696746e-09,1.3089782292986405e-08,-39.62043143428349
3P->5S,3.0,interp,3,5,1.1689642721669865e-08,1.6805264281734536e-08,-30.44058977177042
3P->5S,5.0,interp,3,5,1.258971359753061e-08,1.5941340514208916e-08,-21.024749541551525
3P->5S,10.0,exact,3,5,1.3887498005850847e-08,1.4448580930887183e-08,-3.8833081789844903
3P->5P,1.0,exact,3,5,2.6162207525450274e-08,4.9568671706386504e-08,-47.22027719358981
3P->5P,3.0,interp,3,5,4.7558633983239393e-08,7.816401991504436e-08,-39.15533766695935
3P->5P,5.0,interp,3,5,5.2127630691463624e-08,7.823065252343263e-08,-33.3667443514552
3P->5P,10.0,exact,3,5,5.1890384091921074e-08,7.205127891264697e-08,-27.981314315278738
3P->5D,1.0,exact,3,5,4.554371834170488e-08,7.762545313282636e-08,-41.328885689370246
3P->5D,3.0,interp,3,5,1.0205097568811312e-07,1.490699522665489e-07,-31.541552045553832
3P->5D,5.0,interp,3,5,1.407373861276202e-07,1.7515793898328315e-07,-19.651152014838445
3P->5D,10.0,exact,3,5,2.0169700976900725e-07,1.996740229440908e-07,1.0131447221268797
3P->5F,1.0,exact,3,5,3.412515249427304e-08,6.341948785361631e-08,-46.19137799876265
3P->5F,3.0,interp,3,5,5.18520589503508e-08,9.212188061415942e-08,-43.71363393293451
3P->5F,5.0,interp,3,5,5.3341460476358825e-08,9.003905290432813e-08,-40.757417192029656
3P->5F,10.0,exact,3,5,5.186331558852438e-08,7.818330264989351e-08,-33.66446052967421
3P->5G,1.0,exact,3,5,5.339891954182099e-08,9.436819792618107e-08,-43.41428498656724
3P->5G,3.0,interp,3,5,1.0253020836345982e-07,1.3790366370725682e-07,-25.650845229817897
3P->5G,5.0,interp,3,5,1.0867699202997807e-07,1.407167712056713e-07,-22.768984038771013
3P->5G,10.0,exact,3,5,1.0078357016989862e-07,1.2877249848217757e-07,-21.73517532251087
3D->4S,1.0,exact,3,4,1.6887825675081152e-08,1.765397998345839e-08,-4.3398390000165215
3D->4S,3.0,interp,3,4,1.5654183956418585e-08,1.6137501191425633e-08,-2.9949942638197946
3D->4S,5.0,interp,3,4,1.4031003861543829e-08,1.4311530446431417e-08,-1.9601438569942564
3D->4S,10.0,exact,3,4,1.1607147228076257e-08,1.1688992851758908e-08,-0.7001939749696762
3D->4P,1.0,exact,3,4,6.347709210247316e-08,6.408353389779978e-08,-0.94633013886809
3D->4P,3.0,interp,3,4,7.18464085892727e-08,7.308247666001953e-08,-1.6913330352733347
3D->4P,5.0,interp,3,4,6.93782987914327e-08,6.873300806509825e-08,0.938836731433712
3D->4P,10.0,exact,3,4,6.326247553245668e-08,5.974901011446745e-08,5.880374271068445
3D->4D,1.0,exact,3,4,1.7776793078256682e-07,1.9059683307668192e-07,-6.7309105230272674
3D->4D,3.0,interp,3,4,2.5586757961078395e-07,3.0791094227317875e-07,-16.90208288090713
3D->4D,5.0,interp,3,4,2.6188148908608307e-07,3.358188065281056e-07,-22.017027040989888
3D->4D,10.0,exact,3,4,2.445281047295698e-07,3.3430993754523454e-07,-26.855867185676054
