label,Te_eV,n_lower,n_upper,l_upper,dn,dipole,K_CCC,K_And2002,pct_err
2S->4D,25.0,2,4,2,2,False,1.6814059921860877e-08,1.9168276004947842e-08,-12.281835270314767
2S->4F,0.5,2,4,3,2,False,1.735111114521473e-10,1.9468886397886974e-10,-10.877742102918086
2S->4F,1.0,2,4,3,2,False,2.0504040255614202e-09,2.3054581935383466e-09,-11.063057603550686
2S->4F,3.0,2,4,3,2,False,1.0856032394171743e-08,1.2745164790515597e-08,-14.822345786769775
2S->4F,5.0,2,4,3,2,False,1.4757289376044845e-08,1.7420855606483483e-08,-15.289525902776802
2S->4F,10.0,2,4,3,2,False,1.6938201659035404e-08,2.0019902522733762e-08,-15.39318615662043
2S->4F,15.0,2,4,3,2,False,1.645463559921254e-08,1.92800967726931e-08,-14.65480804786381
2S->4F,20.0,2,4,3,2,False,1.5547688265083654e-08,1.8131794594638348e-08,-14.251795739616568
2S->4F,25.0,2,4,3,2,False,1.4638860208193751e-08,1.6925949377953945e-08,-13.512324293839184
2S->5S,0.5,2,5,0,3,False,2.3189557227161615e-11,3.754802918930478e-11,-38.24028124020168
2S->5S,1.0,2,5,0,3,False,3.1139393950146974e-10,4.899251181043273e-10,-36.440503253568664
2S->5S,3.0,2,5,0,3,False,1.563212527880884e-09,2.0787139802440875e-09,-24.79905640037463
2S->5S,5.0,2,5,0,3,False,2.2003659310718625e-09,2.6703502977586942e-09,-17.60010164514011
2S->5S,10.0,2,5,0,3,False,2.8342956754521562e-09,3.207499617946193e-09,-11.635354230626682
2S->5S,15.0,2,5,0,3,False,2.998105753948498e-09,3.3507314114394146e-09,-10.52384134064136
2S->5S,20.0,2,5,0,3,False,3.0136774082623906e-09,3.369419963393974e-09,-10.55797612041357
2S->5S,25.0,2,5,0,3,False,2.9750120425129677e-09,3.329699688297818e-09,-10.652241312674382
2S->5P,0.5,2,5,1,3,True,5.2236359963283725e-11,7.845856845526372e-11,-33.421726916839724
2S->5P,1.0,2,5,1,3,True,7.906004766764293e-10,1.1914610853429182e-09,-33.6444566757391
2S->5P,3.0,2,5,1,3,True,4.613805741013643e-09,6.369964729159993e-09,-27.569367536795365
2S->5P,5.0,2,5,1,3,True,6.832508134812007e-09,8.779788100206615e-09,-22.1791225843911
2S->5P,10.0,2,5,1,3,True,1.0129578781236892e-08,1.1516541654940336e-08,-12.043223697354222
2S->5P,15.0,2,5,1,3,True,1.2153208716094627e-08,1.2736198477154917e-08,-4.577423648869838
2S->5P,20.0,2,5,1,3,True,1.3523736742213423e-08,1.3431098010763998e-08,0.689733120666558
2S->5P,25.0,2,5,1,3,True,1.4490313643725942e-08,1.3790387121061778e-08,5.075466819892105
2S->5D,0.5,2,5,2,3,False,4.8099438598263004e-11,8.126066018580885e-11,-40.80845702178658
2S->5D,1.0,2,5,2,3,False,6.93144305867681e-10,1.1201574296563727e-09,-38.120813421706735
2S->5D,3.0,2,5,2,3,False,3.461840832170696e-09,4.960364691054561e-09,-30.209953344484486
2S->5D,5.0,2,5,2,3,False,4.5413136031797565e-09,6.160012618693351e-09,-26.277527591444283
2S->5D,10.0,2,5,2,3,False,5.367010520957074e-09,6.833782568799307e-09,-21.463545746085156
2S->5D,15.0,2,5,2,3,False,5.5577010681724705e-09,6.804036233433098e-09,-18.31758565800239
2S->5D,20.0,2,5,2,3,False,5.580126390987793e-09,6.637912600695502e-09,-15.935524815389657
2S->5D,25.0,2,5,2,3,False,5.536937790288538e-09,6.437895749262519e-09,-13.99460311355909
2S->5F,0.5,2,5,3,3,False,3.819541564410958e-11,7.304119110954314e-11,-47.707019746123514
