n,l,label,Te_eV,K_ion_cm3s,K_ion_Lotz
2,1,2P,1.930698,2.9564986576144385e-08,4.3589333477524344e-08
2,1,2P,2.02359,3.259921996619317e-08,4.781637765882109e-08
2,1,2P,2.120951,3.57960361274445e-08,5.224416421218688e-08
2,1,2P,2.222996,3.9150248302351404e-08,5.6863904808438455e-08
2,1,2P,2.329952,4.265564054719967e-08,6.166562380991577e-08
2,1,2P,2.442053,4.6305043187411883e-08,6.663827300906284e-08
2,1,2P,2.559548,5.009041681041013e-08,7.176985341437307e-08
2,1,2P,2.682696,5.4002942665941894e-08,7.70475416655727e-08
2,1,2P,2.811769,5.803311739760256e-08,8.245781881166225e-08
2,1,2P,2.947052,6.217085013970224e-08,8.798659937153543e-08
2,1,2P,3.088844,6.640556017016581e-08,9.361935880726836e-08
2,1,2P,3.237458,7.072627350156777e-08,9.934125776561559e-08
2,1,2P,3.393222,7.512171700724317e-08,1.0513726167561929e-07
2,1,2P,3.55648,7.958040890664664e-08,1.1099225452253824e-07
2,1,2P,3.727594,8.409074466362568e-08,1.1689114584472201e-07
2,1,2P,3.90694,8.864107757422496e-08,1.2281897021593353e-07
2,1,2P,4.094915,9.32197935298473e-08,1.2876097867739662e-07
2,1,2P,4.291934,9.781537963162846e-08,1.347027217689585e-07
2,1,2P,4.498433,1.024164864990929e-07,1.4063012397553463e-07
2,1,2P,4.714866,1.0701198425858341e-07,1.4652954955256402e-07
2,1,2P,4.941713,1.1159101231413403e-07,1.5238785982231009e-07
2,1,2P,5.179475,1.1614302309613555e-07,1.581924621417819e-07
2,1,2P,5.428675,1.206578200530016e-07,1.6393135083356868e-07
2,1,2P,5.689866,1.2512559020038147e-07,1.69593140444003e-07
2,1,2P,5.963623,1.2953693157391214e-07,1.7516709175008572e-07
2,1,2P,6.250552,1.3388287594783122e-07,1.8064313097894023e-07
2,1,2P,6.551286,1.381549071856865e-07,1.8601186273272197e-07
2,1,2P,6.866488,1.4234497558346868e-07,1.9126457712945018e-07
2,1,2P,7.196857,1.4644550855212061e-07,1.963932516776455e-07
2,1,2P,7.54312,1.504494179677246e-07,2.013905484014524e-07
2,1,2P,7.906043,1.5435010449568774e-07,2.0624980672446534e-07
2,1,2P,8.286428,1.5814145917170738e-07,2.1096503260607496e-07
2,1,2P,8.685114,1.6181786249875182e-07,2.1553088440498493e-07
2,1,2P,9.102982,1.6537418129707855e-07,2.199426559216938e-07
2,1,2P,9.540955,1.688057635244977e-07,2.2419625704614684e-07
2,1,2P,10.0,1.7210843126746055e-07,2.2828819240927562e-07
3,0,3S,1.0,1.1559563735527072e-07,1.9602245333233344e-07
3,0,3S,1.048113,1.259141139300112e-07,2.12380178092681e-07
3,0,3S,1.098541,1.366581540640753e-07,2.2930467640974376e-07
3,0,3S,1.151395,1.4780389625489028e-07,2.467546956312747e-07
3,0,3S,1.206793,1.5932478796208917e-07,2.646863120659363e-07
3,0,3S,1.264855,1.7119181067246484e-07,2.83053366497243e-07
3,0,3S,1.325711,1.8337372523722343e-07,3.018078989593199e-07
3,0,3S,1.389495,1.9583733455618428e-07,3.209005766553541e-07
3,0,3S,1.456348,2.0854776063573854e-07,3.4028110966896145e-07
3,0,3S,1.526418,2.214687329946515e-07,3.5989864990497827e-07
3,0,3S,1.599859,2.3456288533445582e-07,3.7970216947681245e-07
3,0,3S,1.676833,2.47792057332209e-07,3.9964081551385734e-07
3,0,3S,1.757511,2.611175983582415e-07,4.1966423907983917e-07
3,0,3S,1.84207,2.7450066987777264e-07,4.397228965602039e-07
3,0,3S,1.930698,2.8790254327221266e-07,4.5976832248592384e-07
3,0,3S,2.02359,3.0128488982391923e-07,4.797533733075167e-07
3,0,3S,2.120951,3.1461005965772186e-07,4.996324421142065e-07
3,0,3S,2.222996,3.278413465334554e-07,5.193616447087382e-07
3,0,3S,2.329952,3.409432355440581e-07,5.388989777997649e-07
3,0,3S,2.442053,3.5388163099857855e-07,5.582044503637818e-07
3,0,3S,2.559548,3.666240620601296e-07,5.772401894609532e-07
3,0,3S,2.682696,3.7913986406259603e-07,5.959705219684091e-07
3,0,3S,2.811769,3.9140033383958267e-07,6.143620338255518e-07
3,0,3S,2.947052,4.0337885785357425e-07,6.323836084737464e-07
3,0,3S,3.088844,4.1505101239817967e-07,6.500064462227094e-07
3,0,3S,3.237458,4.2639463564524876e-07,6.672040662929909e-07
3,0,3S,3.393222,4.373898718043031e-07,6.839522932731686e-07
3,0,3S,3.55648,4.480191881374299e-07,7.002292296962435e-07
3,0,3S,3.727594,4.58267366013557e-07,7.160152163866335e-07
3,0,3S,3.90694,4.68121467579609e-07,7.312927821609436e-07
3,0,3S,4.094915,4.775707799633878e-07,7.46046584385886e-07
3,0,3S,4.291934,4.866067391986617e-07,7.602633418084681e-07
3,0,3S,4.498433,4.952228362746744e-07,7.739317609795473e-07
3,0,3S,4.714866,5.034145078608627e-07,7.8704245749448e-07
3,0,3S,4.941713,5.111790143459565e-07,7.995878731758293e-07
3,0,3S,5.179475,5.185153078633264e-07,8.11562190224635e-07
3,0,3S,5.428675,5.25423892956715e-07,8.229612432699859e-07
3,0,3S,5.689866,5.319066824777836e-07,8.337824301526407e-07
3,0,3S,5.963623,5.379668512043797e-07,8.440246221881334e-07
3,0,3S,6.250552,5.436086895307373e-07,8.536880745687985e-07
3,0,3S,6.551286,5.488374594120693e-07,8.627743374829463e-07
3,0,3S,6.866488,5.536592545499031e-07,8.712861684533305e-07
3,0,3S,7.196857,5.580808665846659e-07,8.792274463262593e-07
3,0,3S,7.54312,5.621096588222325e-07,8.866030872772745e-07
3,0,3S,7.906043,5.657534487657572e-07,8.934189631392408e-07
3,0,3S,8.286428,5.690204004581573e-07,8.996818223038624e-07
3,0,3S,8.685114,5.719189273699083e-07,9.053992133979087e-07
3,0,3S,9.102982,5.744576062978684e-07,9.105794118905908e-07
3,0,3S,9.540955,5.766451024804973e-07,9.152313497483515e-07
3,0,3S,10.0,5.784901058899604e-07,9.193645482175576e-07
3,1,3P,1.0,1.279338180154195e-07,1.9602245333233344e-07
3,1,3P,1.048113,1.3928971355709427e-07,2.12380178092681e-07
3,1,3P,1.098541,1.5110474079074288e-07,2.2930467640974376e-07
3,1,3P,1.151395,1.6335199312099209e-07,2.467546956312747e-07
3,1,3P,1.206793,1.7600174107904046e-07,2.646863120659363e-07
3,1,3P,1.264855,1.8902169490290765e-07,2.83053366497243e-07
3,1,3P,1.325711,2.0237728487061584e-07,3.018078989593199e-07
3,1,3P,1.389495,2.160319556284113e-07,3.209005766553541e-07
3,1,3P,1.456348,2.2994747088825447e-07,3.4028110966896145e-07
3,1,3P,1.526418,2.4408422501316016e-07,3.5989864990497827e-07
3,1,3P,1.599859,2.58401558156903e-07,3.7970216947681245e-07
3,1,3P,1.676833,2.7285807177058236e-07,3.9964081551385734e-07
3,1,3P,1.757511,2.874119414302931e-07,4.1966423907983917e-07
3,1,3P,1.84207,3.0202122407835435e-07,4.397228965602039e-07
3,1,3P,1.930698,3.1664415690854284e-07,4.5976832248592384e-07
3,1,3P,2.02359,3.3123944526873464e-07,4.797533733075167e-07
3,1,3P,2.120951,3.457665371085647e-07,4.996324421142065e-07
3,1,3P,2.222996,3.60185881671528e-07,5.193616447087382e-07
3,1,3P,2.329952,3.7445917032592604e-07,5.388989777997649e-07
3,1,3P,2.442053,3.885495576510853e-07,5.582044503637818e-07
3,1,3P,2.559548,4.0242186114601043e-07,5.772401894609532e-07
3,1,3P,2.682696,4.1604273820607956e-07,5.959705219684091e-07
3,1,3P,2.811769,4.293808393160466e-07,6.143620338255518e-07
3,1,3P,2.947052,4.424069367286007e-07,6.323836084737464e-07
3,1,3P,3.088844,4.5509402822946115e-07,6.500064462227094e-07
3,1,3P,3.237458,4.6741741592386247e-07,6.672040662929909e-07
3,1,3P,3.393222,4.793547603064977e-07,6.839522932731686e-07
3,1,3P,3.55648,4.90886110189284e-07,7.002292296962435e-07
3,1,3P,3.727594,5.019939093517093e-07,7.160152163866335e-07
3,1,3P,3.90694,5.126629810415829e-07,7.312927821609436e-07
3,1,3P,4.094915,5.228804916862746e-07,7.46046584385886e-07
3,1,3P,4.291934,5.326358953742057e-07,7.602633418084681e-07
3,1,3P,4.498433,5.419208608332917e-07,7.739317609795473e-07
3,1,3P,4.714866,5.507291827680961e-07,7.8704245749448e-07
3,1,3P,4.941713,5.590566795221948e-07,7.995878731758293e-07
3,1,3P,5.179475,5.66901079108239e-07,8.11562190224635e-07
3,1,3P,5.428675,5.742618956968047e-07,8.229612432699859e-07
3,1,3P,5.689866,5.811402986769632e-07,8.337824301526407e-07
3,1,3P,5.963623,5.875389763966271e-07,8.440246221881334e-07
3,1,3P,6.250552,5.934619966584327e-07,8.536880745687985e-07
3,1,3P,6.551286,5.989146659861951e-07,8.627743374829463e-07
3,1,3P,6.866488,6.039033895867894e-07,8.712861684533305e-07
3,1,3P,7.196857,6.084355338121677e-07,8.792274463262593e-07
3,1,3P,7.54312,6.125192927765638e-07,8.866030872772745e-07
3,1,3P,7.906043,6.161635606066436e-07,8.934189631392408e-07
3,1,3P,8.286428,6.193778106008852e-07,8.996818223038624e-07
3,1,3P,8.685114,6.221719823539854e-07,9.053992133979087e-07
3,1,3P,9.102982,6.245563776692878e-07,9.105794118905908e-07
3,1,3P,9.540955,6.265415658447517e-07,9.152313497483515e-07
3,1,3P,10.0,6.281382986842112e-07,9.193645482175576e-07
3,2,3D,1.0,1.5265017596639914e-07,1.9602245333233344e-07
3,2,3D,1.048113,1.6625066103424902e-07,2.12380178092681e-07
3,2,3D,1.098541,1.803972431030001e-07,2.2930467640974376e-07
3,2,3D,1.151395,1.9505599311658013e-07,2.467546956312747e-07
3,2,3D,1.206793,2.1018953675846606e-07,2.646863120659363e-07
3,2,3D,1.264855,2.2575740682493067e-07,2.83053366497243e-07
3,2,3D,1.325711,2.4171641641156245e-07,3.018078989593199e-07
3,2,3D,1.389495,2.5802104685324335e-07,3.209005766553541e-07
3,2,3D,1.456348,2.746238446200639e-07,3.4028110966896145e-07
3,2,3D,1.526418,2.9147582171203564e-07,3.5989864990497827e-07
3,2,3D,1.599859,3.085268544953754e-07,3.7970216947681245e-07
3,2,3D,1.676833,3.257260763660542e-07,3.9964081551385734e-07
3,2,3D,1.757511,3.430222600980926e-07,4.1966423907983917e-07
3,2,3D,1.84207,3.603641862229039e-07,4.397228965602039e-07
3,2,3D,1.930698,3.777009942820031e-07,4.5976832248592384e-07
3,2,3D,2.02359,3.949825142902705e-07,4.797533733075167e-07
3,2,3D,2.120951,4.121595762332762e-07,4.996324421142065e-07
3,2,3D,2.222996,4.291842958930733e-07,5.193616447087382e-07
3,2,3D,2.329952,4.460103357457321e-07,5.388989777997649e-07
3,2,3D,2.442053,4.6259314009433594e-07,5.582044503637818e-07
3,2,3D,2.559548,4.788901439872777e-07,5.772401894609532e-07
3,2,3D,2.682696,4.948609558182961e-07,5.959705219684091e-07
3,2,3D,2.811769,5.104675138078541e-07,6.143620338255518e-07
3,2,3D,2.947052,5.256742168228374e-07,6.323836084737464e-07
3,2,3D,3.088844,5.404480302027311e-07,6.500064462227094e-07
3,2,3D,3.237458,5.547585674270643e-07,6.672040662929909e-07
3,2,3D,3.393222,5.685781485846862e-07,6.839522932731686e-07
3,2,3D,3.55648,5.818818366957979e-07,7.002292296962435e-07
3,2,3D,3.727594,5.946474529994819e-07,7.160152163866335e-07
3,2,3D,3.90694,6.068555723604077e-07,7.312927821609436e-07
3,2,3D,4.094915,6.184894999763595e-07,7.46046584385886e-07
3,2,3D,4.291934,6.295352305906876e-07,7.602633418084681e-07
3,2,3D,4.498433,6.399813914371497e-07,7.739317609795473e-07
3,2,3D,4.714866,6.498191701737411e-07,7.8704245749448e-07
3,2,3D,4.941713,6.590422290998884e-07,7.995878731758293e-07
3,2,3D,5.179475,6.676466069984965e-07,8.11562190224635e-07
3,2,3D,5.428675,6.756306099992627e-07,8.229612432699859e-07
3,2,3D,5.689866,6.829946929187588e-07,8.337824301526407e-07
3,2,3D,5.963623,6.897413325906919e-07,8.440246221881334e-07
3,2,3D,6.250552,6.958748947499042e-07,8.536880745687985e-07
3,2,3D,6.551286,7.014014960689345e-07,8.627743374829463e-07
3,2,3D,6.866488,7.063288629594481e-07,8.712861684533305e-07
3,2,3D,7.196857,7.106661887366363e-07,8.792274463262593e-07
3,2,3D,7.54312,7.144239906986018e-07,8.866030872772745e-07
3,2,3D,7.906043,7.176139685929805e-07,8.934189631392408e-07
3,2,3D,8.286428,7.20248865830391e-07,8.996818223038624e-07
3,2,3D,8.685114,7.223423346623661e-07,9.053992133979087e-07
3,2,3D,9.102982,7.239088063763128e-07,9.105794118905908e-07
3,2,3D,9.540955,7.249633673797785e-07,9.152313497483515e-07
3,2,3D,10.0,7.255216418601028e-07,9.193645482175576e-07
4,0,4S,1.0,6.342111274044788e-07,1.006357567942238e-06
4,0,4S,1.048113,6.647610749013831e-07,1.053906847628681e-06
4,0,4S,1.098541,6.951460531069158e-07,1.1013971880061348e-06
4,0,4S,1.151395,7.252758234581554e-07,1.1487176858117796e-06
4,0,4S,1.206793,7.550636062010628e-07,1.1957611940102011e-06
4,0,4S,1.264855,7.844266650704395e-07,1.242424746538242e-06
4,0,4S,1.325711,8.132868303539108e-07,1.2886099175085936e-06
4,0,4S,1.389495,8.415709554954505e-07,1.3342231175122821e-06
4,0,4S,1.456348,8.692113031109633e-07,1.3791758301792903e-06
4,0,4S,1.526418,8.961458571116402e-07,1.4233847925523768e-06
4,0,4S,1.599859,9.223185585662887e-07,1.466772123113481e-06
4,0,4S,1.676833,9.476794639791477e-07,1.5092654014872797e-06
4,0,4S,1.757511,9.721848258030862e-07,1.5507977039447182e-06
4,0,4S,1.84207,9.957970962286056e-07,1.5913075988526733e-06
4,0,4S,1.930698,1.0184848565573915e-06,1.6307391061758524e-06
4,0,4S,2.02359,1.0402226757492826e-06,1.6690416250443072e-06
4,0,4S,2.120951,1.0609909029826187e-06,1.706169833264471e-06
4,0,4S,2.222996,1.0807754002467881e-06,1.7420835624825255e-06
4,0,4S,2.329952,1.0995672220491412e-06,1.7767476525142086e-06
4,0,4S,2.442053,1.117362250225535e-06,1.8101317881420323e-06
4,0,4S,2.559548,1.1341607925583677e-06,1.8422103214556707e-06
4,0,4S,2.682696,1.1499671543985877e-06,1.872962082579193e-06
4,0,4S,2.811769,1.1647891927375457e-06,1.902370181394583e-06
4,0,4S,2.947052,1.1786378621690667e-06,1.930421802638307e-06
4,0,4S,3.088844,1.1915267619204037e-06,1.957107996519675e-06
4,0,4S,3.237458,1.2034716926222306e-06,1.98242346678895e-06
4,0,4S,3.393222,1.2144902307523189e-06,2.0063663579714047e-06
4,0,4S,3.55648,1.2246013277545765e-06,2.0289380432824057e-06
4,0,4S,3.727594,1.2338249397425174e-06,2.0501429145489766e-06
4,0,4S,3.90694,1.2421816924882417e-06,2.0699881752860143e-06
4,0,4S,4.094915,1.2496925851231126e-06,2.088483637910592e-06
4,0,4S,4.291934,1.2563787346844472e-06,2.10564152592581e-06
4,0,4S,4.498433,1.2622611623824956e-06,2.121476281766323e-06
4,0,4S,4.714866,1.2673606212787174e-06,2.136004380870675e-06
4,0,4S,4.941713,1.2716974639985826e-06,2.1492441524305695e-06
4,0,4S,5.179475,1.2752915481805331e-06,2.161215607163673e-06
4,0,4S,5.428675,1.2781621766085806e-06,2.171940272363908e-06
4,0,4S,5.689866,1.2803280684008228e-06,2.1814410344008206e-06
4,0,4S,5.963623,1.2818073572316553e-06,2.189741988766918e-06
4,0,4S,6.250552,1.2826176123446528e-06,2.196868297708035e-06
4,0,4S,6.551286,1.2827758780516876e-06,2.202846055416325e-06
4,0,4S,6.866488,1.2822987274920685e-06,2.207702160717569e-06
4,0,4S,7.196857,1.2812023266200026e-06,2.211464197143558e-06
4,0,4S,7.54312,1.2795025046748917e-06,2.214160320245737e-06
4,0,4S,7.906043,1.2772148277424995e-06,2.2158191519773965e-06
4,0,4S,8.286428,1.274354672413327e-06,2.216469681948055e-06
4,0,4S,8.685114,1.2709372969678026e-06,2.2161411753345685e-06
4,0,4S,9.102982,1.266977907949665e-06,2.2148630872185834e-06
4,0,4S,9.540955,1.2624917204158945e-06,2.2126649831086702e-06
4,0,4S,10.0,1.2574940105636696e-06,2.209576465397437e-06
4,1,4P,1.0,6.718645995854128e-07,1.006357567942238e-06
4,1,4P,1.048113,7.041408371365571e-07,1.053906847628681e-06
4,1,4P,1.098541,7.362455201592449e-07,1.1013971880061348e-06
4,1,4P,1.151395,7.680844810155394e-07,1.1487176858117796e-06
4,1,4P,1.206793,7.995670319053417e-07,1.1957611940102011e-06
4,1,4P,1.264855,8.306065378050969e-07,1.242424746538242e-06
4,1,4P,1.325711,8.611209301342305e-07,1.2886099175085936e-06
4,1,4P,1.389495,8.910331574369447e-07,1.3342231175122821e-06
4,1,4P,1.456348,9.202715699077283e-07,1.3791758301792903e-06
4,1,4P,1.526418,9.487702351941172e-07,1.4233847925523768e-06
4,1,4P,1.599859,9.764691835942173e-07,1.466772123113481e-06
4,1,4P,1.676833,1.003314581537196e-06,1.5092654014872797e-06
4,1,4P,1.757511,1.0292588330928103e-06,1.5507977039447182e-06
4,1,4P,1.84207,1.0542606101931943e-06,1.5913075988526733e-06
4,1,4P,1.930698,1.0782848132506948e-06,1.6307391061758524e-06
4,1,4P,2.02359,1.1013024648960533e-06,1.6690416250443072e-06
4,1,4P,2.120951,1.1232905406120176e-06,1.706169833264471e-06
4,1,4P,2.222996,1.1442317410641499e-06,1.7420835624825255e-06
4,1,4P,2.329952,1.1641142118961092e-06,1.7767476525142086e-06
4,1,4P,2.442053,1.1829312176234239e-06,1.8101317881420323e-06
4,1,4P,2.559548,1.2006807769916654e-06,1.8422103214556707e-06
4,1,4P,2.682696,1.2173652677298399e-06,1.872962082579193e-06
4,1,4P,2.811769,1.2329910090012286e-06,1.902370181394583e-06
4,1,4P,2.947052,1.2475678300129764e-06,1.930421802638307e-06
4,1,4P,3.088844,1.2611086331822971e-06,1.957107996519675e-06
4,1,4P,3.237458,1.2736289599709842e-06,1.98242346678895e-06
4,1,4P,3.393222,1.2851465670006755e-06,2.0063663579714047e-06
4,1,4P,3.55648,1.2956810193685809e-06,2.0289380432824057e-06
4,1,4P,3.727594,1.3052533072255352e-06,2.0501429145489766e-06
4,1,4P,3.90694,1.3138854906910344e-06,2.0699881752860143e-06
4,1,4P,4.094915,1.3216003771044465e-06,2.088483637910592e-06
4,1,4P,4.291934,1.3284212334916777e-06,2.10564152592581e-06
4,1,4P,4.498433,1.3343715360064546e-06,2.121476281766323e-06
4,1,4P,4.714866,1.3394747570267536e-06,2.136004380870675e-06
4,1,4P,4.941713,1.3437541895867663e-06,2.1492441524305695e-06
4,1,4P,5.179475,1.3472328079334666e-06,2.161215607163673e-06
4,1,4P,5.428675,1.349933162236701e-06,2.171940272363908e-06
4,1,4P,5.689866,1.3518773048662955e-06,2.1814410344008206e-06
4,1,4P,5.963623,1.3530867451841849e-06,2.189741988766918e-06
4,1,4P,6.250552,1.3535824294810566e-06,2.196868297708035e-06
4,1,4P,6.551286,1.3533847425060896e-06,2.202846055416325e-06
4,1,4P,6.866488,1.3525135269806578e-06,2.207702160717569e-06
4,1,4P,7.196857,1.3509881175347034e-06,2.211464197143558e-06
4,1,4P,7.54312,1.3488273856389407e-06,2.214160320245737e-06
4,1,4P,7.906043,1.346049792308455e-06,2.2158191519773965e-06
4,1,4P,8.286428,1.3426734456063557e-06,2.216469681948055e-06
4,1,4P,8.685114,1.338716160264993e-06,2.2161411753345685e-06
4,1,4P,9.102982,1.3341955170546438e-06,2.2148630872185834e-06
4,1,4P,9.540955,1.329128919855644e-06,2.2126649831086702e-06
4,1,4P,10.0,1.3235336487222207e-06,2.209576465397437e-06
