sparse_idx,i,j,label_i,label_j,source,g_i,g_j,E_pn_eV
162,5,7,3D,4P,CCC,10,6,0.66139306
163,5,8,3D,4D,CCC,10,10,0.66139306
164,5,9,3D,4F,CCC,10,14,0.66139306
165,5,10,3D,5S,CCC,10,2,0.96752356
166,5,11,3D,5P,CCC,10,6,0.96752356
167,5,12,3D,5D,CCC,10,10,0.96752356
168,5,13,3D,5F,CCC,10,14,0.96752356
169,5,14,3D,5G,CCC,10,18,0.96752356
170,5,15,3D,6S,CCC,10,2,1.13381667
171,5,16,3D,6P,CCC,10,6,1.13381667
172,5,17,3D,6D,CCC,10,10,1.13381667
173,5,18,3D,6F,CCC,10,14,1.13381667
174,5,19,3D,6G,CCC,10,18,1.13381667
175,5,20,3D,6H,CCC,10,22,1.13381667
176,5,21,3D,7S,CCC,10,2,1.23408617
177,5,22,3D,7P,CCC,10,6,1.23408617
178,5,23,3D,7D,CCC,10,10,1.23408617
179,5,24,3D,7F,CCC,10,14,1.23408617
180,5,25,3D,7G,CCC,10,18,1.23408617
181,5,26,3D,7H,CCC,10,22,1.23408617
182,5,27,3D,7I,CCC,10,26,1.23408617
183,5,28,3D,8S,CCC,10,2,1.29916493
184,5,29,3D,8P,CCC,10,6,1.29916493
185,5,30,3D,8D,CCC,10,10,1.29916493
186,5,31,3D,8F,CCC,10,14,1.29916493
187,5,32,3D,8G,CCC,10,18,1.29916493
188,5,33,3D,8H,CCC,10,22,1.29916493
189,5,34,3D,8I,CCC,10,26,1.29916493
190,5,35,3D,8J,CCC,10,30,1.29916493
191,6,10,4S,5S,CCC,2,2,0.3061305
192,6,11,4S,5P,CCC,2,6,0.3061305
193,6,12,4S,5D,CCC,2,10,0.3061305
194,6,13,4S,5F,CCC,2,14,0.3061305
195,6,14,4S,5G,CCC,2,18,0.3061305
196,6,15,4S,6S,CCC,2,2,0.47242361
197,6,16,4S,6P,CCC,2,6,0.47242361
198,6,17,4S,6D,CCC,2,10,0.47242361
199,6,18,4S,6F,CCC,2,14,0.47242361
200,6,19,4S,6G,CCC,2,18,0.47242361
201,6,20,4S,6H,CCC,2,22,0.47242361
202,6,21,4S,7S,CCC,2,2,0.57269311
203,6,22,4S,7P,CCC,2,6,0.57269311
204,6,23,4S,7D,CCC,2,10,0.57269311
