ni,li,nf,lf,threshold_eV,n_points,sigma_max_cm2,filename
10,5,6,2,13.500000,47,4.906096e-15,:H.6D
7,0,5,2,13.328199,55,1.261808e-15,7S.5D
9,8,7,2,13.500000,47,4.973303e-14,9K.7D
4,1,4,2,12.755506,70,8.165625e-08,4P.4D
7,4,5,4,13.328199,55,9.960607e-15,7G.5G
5,4,3,2,13.061780,63,1.405462e-15,5G.3D
7,1,8,4,13.393320,50,5.104916e-12,7P.8G
4,0,9,4,13.500000,47,9.814992e-16,4S.9G
7,2,8,2,13.393320,50,8.286037e-12,7D.8D
10,9,5,2,13.500000,47,1.397061e-15,:L.5D
8,2,6,5,13.393320,50,5.740580e-15,8D.6H
9,5,9,5,13.500000,47,1.748497e-11,9H.9H
10,8,8,5,13.500000,47,1.934716e-13,:K.8H
7,4,6,5,13.328199,55,3.626366e-14,7G.6H
4,2,7,5,13.328199,55,5.505356e-12,4D.7H
8,2,5,4,13.393320,50,2.133816e-15,8D.5G
6,5,7,2,13.328199,55,1.772019e-11,6H.7D
8,1,5,2,13.393320,50,1.470709e-15,8P.5D
8,4,8,2,13.393320,50,4.136018e-10,8G.8D
8,0,8,4,13.393320,50,6.297836e-11,8S.8G
10,2,3,2,13.500000,47,6.115818e-17,:D.3D
8,0,1,0,13.393320,50,1.120673e-19,8S.1S
8,4,7,6,13.393320,50,4.071611e-14,8G.7I
10,9,9,3,13.500000,47,2.537896e-13,:L.9F
6,5,8,6,13.393320,50,1.583560e-11,6H.8I
9,2,6,0,13.500000,47,7.608369e-15,9D.6S
10,4,7,0,13.500000,47,1.208882e-14,:G.7S
7,5,4,1,13.328199,55,1.789941e-15,7H.4P
10,0,7,1,13.500000,47,3.746779e-15,:S.7P
9,1,6,1,13.500000,47,3.449949e-15,9P.6P
4,1,8,3,13.393320,50,7.135121e-13,4P.8F
7,0,9,3,13.500000,47,8.725682e-15,7S.9F
7,2,4,3,13.328199,55,1.283370e-15,7D.4F
8,1,9,3,13.500000,47,5.502556e-13,8P.9F
8,4,4,3,13.393320,50,1.055987e-15,8G.4F
7,2,7,6,13.328199,55,3.405144e-10,7D.7I
8,5,9,0,13.500000,47,1.237445e-13,8H.9S
7,1,1,0,13.328199,55,5.306536e-19,7P.1S
10,8,2,0,13.500000,47,1.991841e-18,:K.2S
9,5,3,0,13.500000,47,9.187728e-17,9H.3S
6,0,6,1,13.228975,58,5.522158e-09,6S.6P
5,1,7,1,13.328199,55,7.149122e-12,5P.7P
10,5,9,6,13.500000,47,1.689971e-13,:H.9I
5,2,7,0,13.328199,55,1.516073e-11,5D.7S
9,8,8,6,13.500000,47,1.424504e-12,9K.8I
6,4,6,0,13.228975,58,7.023110e-11,6G.6S
8,4,8,7,13.393320,50,5.603366e-10,8G.8J
10,1,5,1,13.500000,47,6.026209e-16,:P.5P
9,0,4,1,13.500000,47,1.032464e-16,9S.4P
9,4,4,0,13.500000,47,7.375945e-16,9G.4S
10,2,5,0,13.500000,47,8.249634e-16,:D.5S
8,0,8,6,13.393320,50,2.915095e-11,8S.8I
8,2,3,1,13.393320,50,1.661968e-16,8D.3P
10,0,8,0,13.500000,47,2.076130e-14,:S.8S
9,1,9,0,13.500000,47,8.454054e-09,9P.9S
6,5,1,0,13.228975,58,1.822704e-19,6H.1S
9,2,9,1,13.500000,47,5.172123e-09,9D.9P
10,4,8,1,13.500000,47,5.541760e-14,:G.8P
8,1,3,0,13.393320,50,9.364146e-17,8P.3S
7,4,6,3,13.328199,55,5.113317e-13,7G.6F
4,2,7,3,13.328199,55,7.605569e-12,4D.7F
9,5,9,3,13.500000,47,4.964902e-12,9H.9F
10,8,8,3,13.500000,47,9.742184e-14,:K.8F
8,2,6,3,13.393320,50,7.622370e-15,8D.6F
10,9,3,0,13.500000,47,2.652428e-17,:L.3S
7,1,8,6,13.393320,50,5.183324e-12,7P.8I
5,4,5,0,13.061780,63,4.460851e-10,5G.5S
6,2,4,0,13.228975,58,3.365940e-15,6D.4S
4,0,9,6,13.500000,47,4.586864e-16,4S.9I
6,1,4,1,13.228975,58,2.533696e-15,6P.4P
5,0,5,1,13.061780,63,1.319773e-08,5S.5P
7,2,8,7,13.393320,50,1.026864e-11,7D.8J
8,5,6,1,13.393320,50,1.433745e-14,8H.6P
7,0,3,0,13.328199,55,1.020423e-16,7S.3S
5,2,8,1,13.393320,50,3.365940e-12,5D.8P
9,8,1,0,13.500000,47,6.793486e-20,9K.1S
6,4,9,1,13.500000,47,3.595563e-14,6G.9P
4,1,2,0,12.755506,70,1.989321e-16,4P.2S
4,2,2,1,12.755506,70,2.502053e-16,4D.2P
6,0,9,0,13.500000,47,6.477055e-15,6S.9S
5,1,8,0,13.393320,50,2.334036e-12,5P.8S
7,4,3,1,13.328199,55,2.864689e-16,7G.3P
5,1,2,0,13.061780,63,7.599968e-17,5P.2S
7,4,9,1,13.500000,47,4.990104e-14,7G.9P
4,2,8,1,13.393320,50,1.615483e-12,4D.8P
6,0,3,0,13.228975,58,2.033285e-16,6S.3S
6,4,3,1,13.228975,58,5.412947e-16,6G.3P
4,1,8,0,13.393320,50,1.369618e-12,4P.8S
7,0,9,0,13.500000,47,1.028544e-14,7S.9S
5,2,2,1,13.061780,63,1.005302e-16,5D.2P
5,0,9,6,13.500000,47,1.407422e-15,5S.9I
7,2,4,0,13.328199,55,1.672329e-15,7D.4S
6,1,8,6,13.393320,50,3.141917e-12,6P.8I
9,5,6,1,13.500000,47,9.210131e-15,9H.6P
6,2,8,7,13.393320,50,6.001006e-12,6D.8J
4,0,5,1,13.061780,63,1.212242e-12,4S.5P
10,8,7,1,13.500000,47,1.800302e-14,:K.7P
7,1,4,1,13.328199,55,1.162397e-15,7P.4P
5,4,9,7,13.500000,47,1.344416e-14,5G.9J
10,9,9,0,13.500000,47,2.476290e-13,:L.9S
9,2,6,3,13.500000,47,4.441249e-15,9D.6F
10,4,7,3,13.500000,47,3.769181e-14,:G.7F
8,5,9,3,13.500000,47,1.220083e-13,8H.9F
5,2,7,3,13.328199,55,1.334055e-11,5D.7F
6,4,6,3,13.228975,58,5.530559e-09,6G.6F
10,4,2,1,13.500000,47,5.244930e-18,:G.2P
8,1,9,0,13.500000,47,6.871894e-13,8P.9S
9,2,3,1,13.500000,47,8.353244e-17,9D.3P
9,1,3,0,13.500000,47,6.857893e-17,9P.3S
8,2,9,1,13.500000,47,4.108015e-13,8D.9P
10,0,2,0,13.500000,47,2.483011e-18,:S.2S
7,5,1,0,13.328199,55,9.504160e-20,7H.1S
10,2,9,7,13.500000,47,4.270432e-14,:D.9J
8,0,4,1,13.393320,50,1.482750e-16,8S.4P
9,4,8,7,13.500000,47,5.737780e-14,9G.8J
9,0,8,6,13.500000,47,7.070715e-15,9S.8I
8,4,4,0,13.393320,50,8.045213e-16,8G.4S
10,1,9,6,13.500000,47,2.121494e-14,:P.9I
4,1,7,1,13.328199,55,3.979202e-12,4P.7P
9,8,4,1,13.500000,47,2.920695e-16,9K.4P
7,0,6,1,13.328199,55,3.528357e-14,7S.6P
10,5,5,1,13.500000,47,1.423384e-15,:H.5P
7,4,6,0,13.328199,55,4.491654e-14,7G.6S
4,2,7,0,13.328199,55,7.930401e-12,4D.7S
9,5,9,0,13.500000,47,7.157523e-13,9H.9S
6,2,7,6,13.328199,55,1.788821e-11,6D.7I
10,8,8,0,13.500000,47,5.561362e-14,:K.8S
8,5,3,0,13.393320,50,1.074749e-16,8H.3S
6,1,1,0,13.228975,58,8.689278e-19,6P.1S
9,4,4,3,13.500000,47,7.751183e-16,9G.4F
10,2,5,3,13.500000,47,7.922001e-16,:D.5F
10,9,6,1,13.500000,47,8.204829e-15,:L.6P
10,0,8,3,13.500000,47,4.172422e-15,:S.8F
9,1,9,3,13.500000,47,3.435947e-12,9P.9F
5,4,5,3,13.061780,63,9.571367e-09,5G.5F
6,2,4,3,13.228975,58,3.116715e-15,6D.4F
6,0,9,3,13.500000,47,4.581263e-15,6S.9F
5,1,8,3,13.393320,50,1.670649e-12,5P.8F
8,2,6,0,13.393320,50,2.422245e-14,8D.6S
